di,case_num,date,block,iucr,type,description,loc_descrip,arrest,domestic,beat,district,ward,community,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
22792,HZ440510,9/19/2016 11:40,131XX S LANGLEY AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,533,5,9,54,01A,1183245,1818353,2016,9/26/2016 15:54,41.65675095,-87.60513271,"(41.65675095, -87.605132705)"
22793,HZ441502,9/20/2016 3:45,003XX S WESTERN AVE,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,FALSE,FALSE,1125,11,2,28,01A,1160450,1898494,2016,9/27/2016 15:53,41.87716768,-87.68633725,"(41.877167681, -87.686337247)"
22794,HZ442912,9/21/2016 0:55,051XX S HONORE ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,TRUE,FALSE,932,9,16,61,01A,1164887,1870540,2016,9/28/2016 15:54,41.80036613,-87.67083755,"(41.800366126, -87.670837546)"
22799,HZ443570,9/21/2016 14:36,000XX E 57TH ST,110,HOMICIDE,FIRST DEGREE MURDER,VACANT LOT,FALSE,FALSE,232,2,20,40,01A,1177419,1867236,2016,9/28/2016 15:54,41.79102539,-87.62497889,"(41.79102539, -87.624978891)"
22797,HZ442931,9/21/2016 1:06,123XX S HALSTED ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,TRUE,FALSE,523,5,34,53,01A,1173232,1822980,2016,10/22/2016 15:47,41.66967451,-87.64163568,"(41.669674511, -87.641635676)"
22798,HZ442931,9/21/2016 0:58,123XX S HALSTED ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,TRUE,FALSE,523,5,34,53,01A,1173232,1822980,2016,10/22/2016 15:47,41.66967451,-87.64163568,"(41.669674511, -87.641635676)"
22800,HZ444387,9/22/2016 5:10,055XX S PERRY AVE,110,HOMICIDE,FIRST DEGREE MURDER,VESTIBULE,FALSE,FALSE,225,2,3,40,01A,1176646,1868162,2016,9/29/2016 15:47,41.79358387,-87.62778542,"(41.793583868, -87.627785424)"
22801,HZ446444,9/23/2016 15:13,003XX W 42ND PL,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,925,9,3,37,01A,1174818,1876781,2016,9/30/2016 15:52,41.81727621,-87.63423144,"(41.817276213, -87.634231441)"
22802,HZ446728,9/23/2016 17:45,010XX W 77TH ST,110,HOMICIDE,FIRST DEGREE MURDER,HALLWAY,FALSE,FALSE,612,6,17,71,01A,1170766,1853762,2016,9/30/2016 15:52,41.75419893,-87.64976656,"(41.754198929, -87.649766555)"
22803,HZ446823,9/23/2016 18:23,026XX W HADDON AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1211,12,26,24,01A,1158609,1907541,2016,9/30/2016 15:52,41.90203134,-87.69284894,"(41.902031342, -87.692848935)"
22804,HZ446923,9/23/2016 20:44,056XX S RACINE AVE,110,HOMICIDE,FIRST DEGREE MURDER,PARK PROPERTY,FALSE,FALSE,712,7,16,68,01A,1169282,1867391,2016,9/30/2016 15:52,41.79163083,-87.65481088,"(41.791630829, -87.65481088)"
22806,HZ447249,9/24/2016 2:33,022XX W 50TH ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,931,9,16,63,01A,1162161,1871476,2016,10/1/2016 15:49,41.80299185,-87.68080861,"(41.802991846, -87.680808607)"
22807,HZ447262,9/24/2016 2:57,026XX W WILCOX ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1125,11,2,27,01A,1158806,1899256,2016,10/1/2016 15:49,41.87929253,-87.69235266,"(41.87929253, -87.692352657)"
22808,HZ448205,9/24/2016 20:17,015XX W 56TH ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,713,7,16,67,01A,1167109,1867593,2016,10/1/2016 15:49,41.79223193,-87.66277308,"(41.792231927, -87.662773083)"
22809,HZ448633,9/25/2016 5:04,092XX S COLFAX AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,423,4,7,48,01A,1195112,1844301,2016,10/2/2016 15:49,41.72767171,-87.56085893,"(41.727671711, -87.560858927)"
